,galaxy,v3k,mod0,dl_mpc,z,d_mpc
275,  PGC044351                  ,6322,34.81,91.62204901220011,2.1087922098427172e-05,91.62011693431155
276,  PGC044367                  ,7498,34.65,85.11380382023759,2.501063585795744e-05,85.11167512312383
277,  PGC044390                  ,7398,35.24,111.68632477805612,2.467707176275929e-05,111.68356875461525
278,  IC3943                     ,7073,34.91,95.94006315159317,2.3592988453365294e-05,95.93779969219278
279,  NGC4854                    ,8653,35.7,138.03842646028866,2.8863301157496098e-05,138.03444233060955
280,  PGC044560                  ,8077,36.2,173.78008287493762,2.694197196915474e-05,173.77540102295433
281,  IC3959                     ,7299,35.23,111.17317272815896,2.434684330851312e-05,111.17046607824082
282,  PGC044581                  ,6752,33.78,57.01642722807478,2.2522247707779228e-05,57.015143118898365
283,  PGC044592                  ,8265,33.81,57.80960474057187,2.7569072468127266e-05,57.80801102732663
284,  PGC044616                  ,7186,34.68,86.29785477669702,2.3969915880939205e-05,86.29578627395917
285,  IC3998                     ,9688,34.73,88.30799004185621,3.231568954279697e-05,88.30513640048326
286,  PGC044662                  ,8360,34.65,85.11380382023759,2.788595835856551e-05,85.11143040643343
287,  ESO443-021                 ,3118,33.34,46.55860935229601,1.0400528488278381e-05,46.558125123189306
288,  ESO269-028                 ,3543,33.64,53.45643593969714,1.1818175892870528e-05,53.455804189600734
289,  PGC044704                  ,6446,35.08,103.75284158180126,2.150154157647288e-05,103.75061078372991
290,  IC4011                     ,7536,34.88,94.62371613657949,2.5137390214132738e-05,94.62133760309358
